Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
301,301,"<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Fennix,Belt,"color:Black,color:Chocolate,color:Dark Grey,color:Navy,color:Wine,size:46",TRUE,Size,46,Color,Black,,,301-46-black,0,shopify,deny,manual,345,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Black.jpg,1,301 Black,FALSE,Brite Creations | 301 Belt by Fennix,"Shop at Brite Creations Atlanta for the best deal on 301 Belt by Fennix
<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Black.jpg,lb,,
301,,,,,,,,46,,Chocolate,,,301-46-chocolate,0,shopify,deny,manual,345,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Chocolate.jpg,2,301 Chocolate,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Chocolate.jpg,lb,,
301,,,,,,,,46,,Dark Grey,,,301-46-darkgrey,0,shopify,deny,manual,345,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Dark Grey.jpg,3,301 Dark Grey,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Dark Grey.jpg,lb,,
301,,,,,,,,46,,Navy,,,301-46-navy,0,shopify,deny,manual,345,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Navy.jpg,4,301 Navy,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Navy.jpg,lb,,
301,,,,,,,,46,,Wine,,,301-46-wine,0,shopify,deny,manual,345,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Wine.jpg,5,301 Wine,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/301 Alligator Wine.jpg,lb,,
302,302,"<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Fennix,Belt,"color:Black,color:Beige,color:Brown,color:Burgundy,color:Cognac,color:Olive,color:Red,size:46",TRUE,Size,46,Color,Black,,,302-46-black,0,shopify,deny,manual,295,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Black.jpg,1,302 Black,FALSE,Brite Creations | 302 Belt by Fennix,"Shop at Brite Creations Atlanta for the best deal on 302 Belt by Fennix
<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Black.jpg,lb,,
302,,,,,,,,46,,Beige,,,302-46-beige,0,shopify,deny,manual,295,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Beige.jpg,2,302 Beige,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Beige.jpg,lb,,
302,,,,,,,,46,,Brown,,,302-46-brown,0,shopify,deny,manual,295,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Brown.jpg,3,302 Brown,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Brown.jpg,lb,,
302,,,,,,,,46,,Burgundy,,,302-46-burgundy,0,shopify,deny,manual,295,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Burgundy.jpg,4,302 Burgundy,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Burgundy.jpg,lb,,
302,,,,,,,,46,,Cognac,,,302-46-cognac,0,shopify,deny,manual,295,,TRUE,TRUE,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Cognac.jpg,5,302 Cognac,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/abadari3/Shopify-Product-Manager/master/fennix/302 Backstrap Cognac.jpg,lb,,
