Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Online Brite Creations,Retail Brite Creations
adamo,Adamo,Size,7,Color,Brown,,,adamo-7-brown,0,0
adamo,Adamo,Size,7,Color,Burgundy,,,adamo-7-burgundy,0,0
adamo,Adamo,Size,7,Color,Dark Grey,,,adamo-7-darkgrey,0,0
adamo,Adamo,Size,7,Color,Navy,,,adamo-7-navy,0,0
adamo,Adamo,Size,7.5,Color,Brown,,,adamo-7.5-brown,0,0
adamo,Adamo,Size,7.5,Color,Burgundy,,,adamo-7.5-burgundy,0,0
adamo,Adamo,Size,7.5,Color,Dark Grey,,,adamo-7.5-darkgrey,0,0
adamo,Adamo,Size,7.5,Color,Navy,,,adamo-7.5-navy,0,0
adamo,Adamo,Size,8,Color,Brown,,,adamo-8-brown,1,1
adamo,Adamo,Size,8,Color,Burgundy,,,adamo-8-burgundy,1,1
adamo,Adamo,Size,8,Color,Dark Grey,,,adamo-8-darkgrey,1,1
adamo,Adamo,Size,8,Color,Navy,,,adamo-8-navy,1,1
adamo,Adamo,Size,8.5,Color,Brown,,,adamo-8.5-brown,0,0
adamo,Adamo,Size,8.5,Color,Burgundy,,,adamo-8.5-burgundy,1,1
adamo,Adamo,Size,8.5,Color,Dark Grey,,,adamo-8.5-darkgrey,1,1
adamo,Adamo,Size,8.5,Color,Navy,,,adamo-8.5-navy,1,1
adamo,Adamo,Size,9,Color,Brown,,,adamo-9-brown,1,1
adamo,Adamo,Size,9,Color,Burgundy,,,adamo-9-burgundy,1,1
adamo,Adamo,Size,9,Color,Dark Grey,,,adamo-9-darkgrey,1,1
adamo,Adamo,Size,9,Color,Navy,,,adamo-9-navy,1,1
adamo,Adamo,Size,9.5,Color,Brown,,,adamo-9.5-brown,0,0
adamo,Adamo,Size,9.5,Color,Burgundy,,,adamo-9.5-burgundy,1,1
adamo,Adamo,Size,9.5,Color,Dark Grey,,,adamo-9.5-darkgrey,1,1
adamo,Adamo,Size,9.5,Color,Navy,,,adamo-9.5-navy,1,1
adamo,Adamo,Size,10,Color,Brown,,,adamo-10-brown,1,1
adamo,Adamo,Size,10,Color,Burgundy,,,adamo-10-burgundy,1,1
adamo,Adamo,Size,10,Color,Dark Grey,,,adamo-10-darkgrey,1,1
adamo,Adamo,Size,10,Color,Navy,,,adamo-10-navy,1,1
adamo,Adamo,Size,10.5,Color,Brown,,,adamo-10.5-brown,0,0
adamo,Adamo,Size,10.5,Color,Burgundy,,,adamo-10.5-burgundy,1,1
adamo,Adamo,Size,10.5,Color,Dark Grey,,,adamo-10.5-darkgrey,1,1
adamo,Adamo,Size,10.5,Color,Navy,,,adamo-10.5-navy,1,1
adamo,Adamo,Size,11,Color,Brown,,,adamo-11-brown,1,1
adamo,Adamo,Size,11,Color,Burgundy,,,adamo-11-burgundy,1,1
adamo,Adamo,Size,11,Color,Dark Grey,,,adamo-11-darkgrey,1,1
adamo,Adamo,Size,11,Color,Navy,,,adamo-11-navy,1,1
adamo,Adamo,Size,11.5,Color,Brown,,,adamo-11.5-brown,0,0
adamo,Adamo,Size,11.5,Color,Burgundy,,,adamo-11.5-burgundy,1,1
adamo,Adamo,Size,11.5,Color,Dark Grey,,,adamo-11.5-darkgrey,1,1
adamo,Adamo,Size,11.5,Color,Navy,,,adamo-11.5-navy,1,1
adamo,Adamo,Size,12,Color,Brown,,,adamo-12-brown,1,1
adamo,Adamo,Size,12,Color,Burgundy,,,adamo-12-burgundy,1,1
adamo,Adamo,Size,12,Color,Dark Grey,,,adamo-12-darkgrey,1,1
adamo,Adamo,Size,12,Color,Navy,,,adamo-12-navy,1,1
adamo,Adamo,Size,13,Color,Brown,,,adamo-13-brown,1,1
