Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mezlanpresa,Presa,"<meta charset=""utf-8"">
<ul>
<li>A Modern Look To A Classic Monk Strap</li>
<li>Combined Materials Of Embossed And Smooth, Shiny Calfskin</li>
<li>Injected Comfort Insole</li>
<li>Full Leather Sole</li>
<li>Handmade in Spain</li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Mezlan,Dress Casual Shoe,"color:Black, size:10, size:10.5, size:11, size:11.5, size:12, size:13, size:8, size:8.5, size:9, size:9.5",TRUE,Size,8,Color,Black,,,mezlanpresa-black-8,0,shopify,deny,manual,375,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,1,,FALSE,Brite Creations | Presa Dress Casual Shoe by Mezlan,"Shop at Brite Creations Atlanta for the best deal on Presa Dress Casual Shoe by Mezlan
<meta charset=""utf-8"">
<ul><li>A Modern Look To A Classic Monk Strap</li><li>Combined Materials Of Embossed And Smooth, Shiny Calfskin</li><li>Injected Comfort Insole</li><li>Full Leather Sole</li><li>Handmade in Spain</li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,active
mezlanpresa,,,,,,,,8.5,,Black,,,mezlanpresa-black-8.5,0,shopify,deny,manual,375,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-ou.1606532349.jpg?v=1606959645,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,9,,Black,,,mezlanpresa-black-9,0,shopify,deny,manual,375,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-2.1606532349.jpg?v=1606959645,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,9.5,,Black,,,mezlanpresa-black-9.5,0,shopify,deny,manual,375,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-3.1606532349.jpg?v=1606959645,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,10,,Black,,,mezlanpresa-black-10,0,shopify,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,10.5,,Black,,,mezlanpresa-black-10.5,0,shopify,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,11,,Black,,,mezlanpresa-black-11,0,shopify,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,11.5,,Black,,,mezlanpresa-black-11.5,0,shopify,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,12,,Black,,,mezlanpresa-black-12,0,shopify,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
mezlanpresa,,,,,,,,13,,Black,,,mezlanpresa-black-13,0,shopify,deny,manual,375,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/mezlan-shoes-9331-presa-black-1.1606532349.jpg?v=1606959645,lb,,,
