Title,Material,Color,Price,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,Images
Alba,Calf,Antique Red,189,,,X,,X,,X,,X,,X,X,X,,ALBA Antique Red.jpg
Alba,Calf,Cognac,189,,,X,,X,,X,,X,,X,X,X,,ALBA Cognac.jpg
Amalfi,Patent/Velvet,Black,189,,,X,X,X,,,,,,X,,,,AMALFI Black.JPG
Amalfi,Patent/Velvet,Black/White,189,X,,,,,X,X,,X,,X,,,,AMALFI Black-White.jpg
Amalfi,Patent/Velvet,Burgundy,189,X,,X,,X,,X,,X,,X,X,,,AMALFI Burgundy.JPG
Amalfi,Patent/Velvet,Champagne,189,,,X,,X,,X,,X,,X,X,,,AMALFI Champagne.JPG
Amalfi,Patent/Velvet,Green,189,,,X,,X,,X,,X,,X,X,,,AMALFI Green.JPG
Amalfi,Patent/Velvet,Navy,189,,,X,X,X,X,X,X,X,X,X,X,X,,AMALFI Navy.JPG
Amalfi,Patent/Velvet,Red,189,,,X,,X,,X,,X,,X,X,,,AMALFI Red.jpg
Amalfi,Patent/Velvet,Pink,189,,,X,,X,,X,,X,,X,X,,,AMALFI Pink.JPG
Amalfi,Patent/Velvet,White,189,,,X,,X,,X,,,,X,X,,,AMALFI White.JPG
Amalfi,Patent/Velvet,White/Black,189,X,,,X,X,,,,X,,X,,,,AMALFI White-Black.JPG
Asti,Calf,Black Combo,199,,,X,,X,,X,,X,,X,X,X,,ASTI Black Combo.JPG
Asti,Calf,Blue Combo,199,,,X,,X,,X,,X,X,X,X,,,ASTI Blue Combo.JPG
Asti,Calf,Bordo Combo,199,,,X,X,X,,X,X,X,X,X,X,,,ASTI Bordo Combo.jpg
Asti,Calf,Cognac Combo,199,,,X,,X,,,,X,X,X,,,,ASTI Cognac Combo.jpg
Cecina,Calf,Black,199,,,X,,X,,X,,X,,X,X,,,CECINA Black.jpg
Cecina,Calf,Chocolate,199,,,X,X,X,,X,,X,X,X,X,,,CECINA Chocolate.jpg
Cecina,Calf,Navy,199,,,X,,X,,,,X,X,X,,X,,CECINA Navy.jpg
Fano,Calf,Antique Red,199,,,X,X,X,X,X,X,X,X,X,X,X,,Fano Antique Red.jpg
Fano,Calf,Cognac,199,,,X,X,X,X,X,X,X,X,X,X,X,,FANO Cognac.jpg
Fermo,Calf,Brown Combo,199,,,X,,X,,X,,X,,X,X,X,,FERMO Brown Combo.jpg
Fermo,Calf,Blue Combo,199,,,X,,X,,X,,X,,X,X,X,,FERMO Blue Combo.jpg
Garda,Calf,Black,199,,,X,,X,X,X,X,X,X,X,X,X,,GARDA Black.jpg
Garda,Calf,Camel,199,,,X,,X,X,X,X,X,X,X,X,X,,GARDA Camel.jpg
Imola,Calf/Calf Croc Print,Black,189,,,X,,X,,X,,X,,X,X,,,IMOLA Black.jpg
Imola,Calf/Calf Croc Print,Burgundy,189,,,X,,X,,X,,X,,X,X,,,IMOLA Burgundy.jpg
Imola,Calf/Calf Croc Print,Cognac,189,,,X,,X,,X,,X,,X,X,,,IMOLA Cognac.jpg
Imola,Calf/Calf Croc Print,Green,189,,,X,,X,,X,,X,,X,X,,,IMOLA Green.jpg
Imola,Calf/Calf Croc Print,Navy,189,,,X,,X,,X,,X,,X,X,,,IMOLA Navy.jpg
Livorno,Calf,Black Combo,199,,,,,,,,,,,,,,,LIVORNO Black Combo.jpg
Livorno,Calf,Blue Combo,199,,,,,,,,,,,,,,,LIVORNO Blue Combo.jpg
Livorno,Calf,Brown Combo,199,,,,,,,,,,,,,,,LIVORNO Brown Combo.jpg
Lucca,Calf,Blue Combo,199,,,X,,X,,X,,X,X,X,X,X,,LUCCA Blue Combo.JPG
Lucca,Calf,Brown Combo,199,,,,,X,X,X,,X,X,X,X,X,,LUCCA Brown Combo.JPG
Lucca,Calf,Green Combo,199,,,,,,,,,,,,,,,LUCCA Green Combo.JPG
Maratea,Patent/Velvet,Black/Clear Crystals,215,X,X,X,X,X,X,X,X,X,,X,X,,,MARATEA Black-Clear Crystals.jpg
Maratea,Patent/Velvet,Black/Black Crystals,215,X,,X,X,X,X,X,X,X,,X,X,,,MARATEA Black-Black Crystals.jpg
Maratea,Patent/Velvet,Black/Red Crystals,215,X,X,X,X,X,X,X,,X,,X,,,,MARATEA Black-Red Crystals.jpg
Marini,Calf,Brown,189,,,X,,X,,X,,X,,X,X,,,MARINI Brown.jpg
Marini,Calf,Cognac,189,,,X,,X,,X,,X,,X,X,,,MARINI Cognac.jpg
Marini,Calf,Navy,189,,,X,,X,,X,,X,,X,X,,,MARINI Navy.jpg
Marino,Calf/Calf Snake Print,Black/Grey,199,,,X,,X,,,,X,,,X,,,MARINO Black-Grey.jpg
