Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Online Brite Creations,Retail Brite Creations
ks88614handbrai,Ks886-14 Hand Braided Leather Woven Oxford,Size,9.5,Color,Black,,,ks88614handbrai-black-95,,,0,not stocked
ks88614handbrai,Ks886-14 Hand Braided Leather Woven Oxford,Size,9.5,Color,Cognac,,,ks88614handbrai-cognac-95,,,0,not stocked
ks88614handbrai,Ks886-14 Hand Braided Leather Woven Oxford,Size,9.5,Color,Brown/Navy,,,ks88614handbrai-brown/navy-95,,,0,not stocked
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,14,Color,Black,,,ks67111calfskin-black-14,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,14,Color,Burgundy,,,ks67111calfskin-burgundy-14,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,14,Color,Cognac,,,ks67111calfskin-cognac-14,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,14,Color,Gray,,,ks67111calfskin-gray-14,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,13,Color,Black,,,ks67111calfskin-black-13,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,13,Color,Burgundy,,,ks67111calfskin-burgundy-13,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,13,Color,Cognac,,,ks67111calfskin-cognac-13,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,13,Color,Gray,,,ks67111calfskin-gray-13,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,12,Color,Black,,,ks67111calfskin-black-12,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,12,Color,Burgundy,,,ks67111calfskin-burgundy-12,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,12,Color,Cognac,,,ks67111calfskin-cognac-12,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,12,Color,Gray,,,ks67111calfskin-gray-12,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,11,Color,Black,,,ks67111calfskin-black-11,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,11,Color,Burgundy,,,ks67111calfskin-burgundy-11,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,11,Color,Cognac,,,ks67111calfskin-cognac-11,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,11,Color,Gray,,,ks67111calfskin-gray-11,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10.5,Color,Black,,,ks67111calfskin-black-10.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10.5,Color,Burgundy,,,ks67111calfskin-burgundy-10.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10.5,Color,Cognac,,,ks67111calfskin-cognac-10.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10.5,Color,Gray,,,ks67111calfskin-gray-10.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10,Color,Black,,,ks67111calfskin-black-10,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10,Color,Burgundy,,,ks67111calfskin-burgundy-10,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10,Color,Cognac,,,ks67111calfskin-cognac-10,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,10,Color,Gray,,,ks67111calfskin-gray-10,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9.5,Color,Black,,,ks67111calfskin-black-9.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9.5,Color,Burgundy,,,ks67111calfskin-burgundy-9.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9.5,Color,Cognac,,,ks67111calfskin-cognac-9.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9.5,Color,Gray,,,ks67111calfskin-gray-9.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9,Color,Black,,,ks67111calfskin-black-9,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9,Color,Burgundy,,,ks67111calfskin-burgundy-9,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9,Color,Cognac,,,ks67111calfskin-cognac-9,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,9,Color,Gray,,,ks67111calfskin-gray-9,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,8.5,Color,Black,,,ks67111calfskin-black-8.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,8.5,Color,Burgundy,,,ks67111calfskin-burgundy-8.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,8.5,Color,Cognac,,,ks67111calfskin-cognac-8.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,8.5,Color,Gray,,,ks67111calfskin-gray-8.5,,,1,0
ks67111calfskin,Ks671-11 Calfskin Slip-On Sneakers,Size,8,Color,Black,,,ks67111calfskin-black-8,,,1,0
