Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
varsi,Varsi,"<ul>
<li>
<b>Material: </b> Calf/Calf Croc Print Leather</li>
<li>
<b>Vendor: </b> Duca </li>
<li>
<b>Outer Sole: </b> Leather </li>
<li>Comes with original box and dustbag</li>
<li>Made in Italy</li>
<br>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul><br><li>Duca Shoes generally run about half size bigger than listed. We recommend purchasing a half-size or full size smaller from your normal size.</li>",Duca,Dress Shoe,"color:Antique Red, color:Cognac, color:Dark Grey, color:Navy, size:10, size:10.5, size:11, size:11.5, size:12, size:13, size:14, size:15, size:7, size:7.5, size:8, size:8.5, size:9, size:9.5",true,Size,7,Color,Antique Red,,,varsi-7-antiquered,0.0,shopify,deny,manual,189.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Antique_20Red.jpg?v=1602441295,1,Varsi Antique Red,false,Brite Creations | Varsi Dress Shoe by Duca,"Shop at Brite Creations Atlanta for the best deal on Varsi Dress Shoe by Duca
<ul>
<li><b>Material: </b> Calf/Calf Croc Print Leather</li>
<li><b>Vendor: </b> Duca </li>
<li><b>Outer Sole: </b> Leather </li>
<li>Comes with original box and dustbag</li>
<li>Made in Italy</li><br>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul><br><li>Duca Shoes generally run about half size bigger than listed. We recommend purchasing a half-size or full size smaller from your normal size.</li></ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Antique_20Red.jpg?v=1602441295,lb,,,active
varsi,,,,,,,,7,,Cognac,,,varsi-7-cognac,0.0,shopify,deny,manual,189.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Cognac_4a238f56-b205-4467-9e76-9765a7471a13.jpg?v=1602441295,2,Varsi Cognac,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Cognac_4a238f56-b205-4467-9e76-9765a7471a13.jpg?v=1602441295,lb,,,
varsi,,,,,,,,7,,Dark Grey,,,varsi-7-darkgrey,0.0,shopify,deny,manual,189.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Dark_20Grey_892fbc5c-a685-472e-8144-c9c8df81dc9c.jpg?v=1602441295,3,Varsi Dark Grey,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Dark_20Grey_892fbc5c-a685-472e-8144-c9c8df81dc9c.jpg?v=1602441295,lb,,,
varsi,,,,,,,,7,,Navy,,,varsi-7-navy,0.0,shopify,deny,manual,189.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Navy_c78f84ba-32aa-42f2-b615-2ddb1ee05c35.jpg?v=1602441295,4,Varsi Navy,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Navy_c78f84ba-32aa-42f2-b615-2ddb1ee05c35.jpg?v=1602441295,lb,,,
varsi,,,,,,,,7.5,,Antique Red,,,varsi-7.5-antiquered,0.0,shopify,deny,manual,189.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Antique_20Red.jpg?v=1602441295,lb,,,
varsi,,,,,,,,7.5,,Cognac,,,varsi-7.5-cognac,0.0,shopify,deny,manual,189.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Cognac_4a238f56-b205-4467-9e76-9765a7471a13.jpg?v=1602441295,lb,,,
varsi,,,,,,,,7.5,,Dark Grey,,,varsi-7.5-darkgrey,0.0,shopify,deny,manual,189.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Dark_20Grey_892fbc5c-a685-472e-8144-c9c8df81dc9c.jpg?v=1602441295,lb,,,
varsi,,,,,,,,7.5,,Navy,,,varsi-7.5-navy,0.0,shopify,deny,manual,189.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Navy_c78f84ba-32aa-42f2-b615-2ddb1ee05c35.jpg?v=1602441295,lb,,,
varsi,,,,,,,,8,,Antique Red,,,varsi-8-antiquered,0.0,shopify,deny,manual,189.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Antique_20Red.jpg?v=1602441295,lb,,,
varsi,,,,,,,,8,,Cognac,,,varsi-8-cognac,0.0,shopify,deny,manual,189.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/VARSI_20Cognac_4a238f56-b205-4467-9e76-9765a7471a13.jpg?v=1602441295,lb,,,
