handle,color,40,40.5,41,41.5,42,42.5,43,43.5,44,44.5,45,46,47,48
Adamo,Brown,,,X,,X,,X,,X,,X,X,,
,Burgundy,,,X,X,X,X,X,X,,,X,X,X,
,Dark Grey,,,X,X,X,X,X,X,X,X,X,X,X,
,Navy,,,X,X,X,X,X,X,X,X,X,X,X,
Baldo,Antique Red,,,X,,X,X,X,X,X,X,X,X,X,
,Taupe,,,X,X,X,,X,X,X,X,X,X,,
Danilo,Blue,,,,,,,,,,,,,,
,Cognac,,,,,,,,,,,,,,
Dante,Cognac/Light Blue,,,,,,,,,X,,,,,
,Black/Grey,,,X,X,,,,,,,X,X,,
Dario,Black/Red,,,X,,X,,,,,,,,,
,Cognac/Brown,,,X,,,,,,,,X,,,
Davide,Black,,,X,,X,X,,,,,,X,,
,Brandy,,,X,,,,,,,,,X,,
Fabrizio,Black,,,X,X,X,X,X,X,X,X,X,X,X,
,Brown,,,X,X,X,X,X,X,X,X,X,X,X,
Filippo,Black,,,X,X,X,X,X,X,X,X,X,X,X,
,Cognac,,,X,X,X,X,X,X,X,X,X,X,X,
Francesco,Black,,,X,X,X,X,X,X,,,,X,X,
,Cognac,,,,,,,,,,,,,,
,Light Grey,,,,,,,,,,,,X,,
,Navy,,,X,X,X,X,X,,,,,,,
Franco,Black,,,X,,X,X,X,X,X,X,X,X,,
,Burgundy,,,X,X,X,X,X,X,X,X,X,X,X,
,Cognac,,,X,X,X,,X,X,X,X,X,,X,
,Navy,,,X,,X,,X,X,X,X,X,X,X,
Gino,Black/Bone,,,,X,X,X,X,X,X,X,X,X,X,
,Brandy/Blue,,,,X,,,,X,X,,,X,X,
,Neutro/Chocolate,,,,,X,,X,X,,,X,X,,
,Wine/Bone,,,,X,X,,X,,,X,,X,,
Giorgio,Antique Red,,,X,X,X,,X,X,X,,,,X,
,Black,,,,,,,,,,,,,,
,Cognac,,,X,X,,,,,,X,,,X,
,Dark Grey,,,X,X,X,X,X,X,X,X,,,X,
,Navy,,,X,,X,,,,,,,X,,
Leonardo,Leather Black,,,,,,,,,,,,,,
,Leather Cognac,,,,,,,,,,,,,,
,Patent Black,,,,,,,,,,,,,,
,Patent Blue,,,,,,,,,,,,,,
,Suede Brown,,,X,X,,,,,,,,,,
,Suede Cognac,,,,,,,,,X,,,,,
Livio,Black,,,X,,X,,X,X,X,,X,X,X,
,Navy,,,X,,X,,X,X,,X,X,X,X,
,Taupe/Dark Brown,,,X,,X,,X,X,X,X,X,X,X,
Lorenzo,Antique Red/Burgundy,,,X,X,X,X,X,X,,,,X,,
,Antique Bone/Chocolate,,,X,X,X,X,X,,X,,X,X,,
Luca,Black,,,,,X,X,X,,X,,X,X,,
,Chocolate,,,X,X,,X,X,X,,,,,,
Lucio,Black Combo,,,X,X,X,X,X,X,X,X,X,X,,
,Blue Combo,,,,,,,,,,,,,,
,Brown Combo,,,X,X,X,X,X,X,X,X,X,X,,
,Green Combo,,,,,,,,,,,,X,,
Martino,Blue Combo,,,X,X,X,,X,X,,,X,X,X,
,Brown Combo,,,X,X,,,X,X,,,X,X,X,
,Purple Combo,,,X,X,X,X,X,X,X,X,X,X,,
Maurizio,Black,,,X,,X,,X,,X,,X,X,,
,Navy/Cognac,,,X,,X,X,X,X,X,X,X,X,,
Milo,Black,,,X,,X,X,X,X,X,X,X,X,X,
,Chocolate,,,X,X,X,,X,X,X,X,X,X,X,
Nino,Black/Red,,,,,,,,,,,,,,
,Green/Red,,,,,,,,,,,,,,
Oliviero,Brown,,,,,,,,,,,,,,
,Olive,,,X,,,,,,,,X,,,
Pietro,Cognac/Orange,,,,X,X,X,X,,,,X,X,,
,Cognac/Navy,,,,,,,,,,,,,,
Remo,Black/Grey,,,,,,,,,,,,,,
,Cognac/Chocolate,,,,,X,X,,X,,X,X,X,,
Renato,Black,,,,,X,X,X,,,,X,X,,
,Purple,,,,,,,,,,,,,,
,Taupe,,,X,X,X,X,X,X,X,X,X,X,X,
Riccardo,Black,,,X,X,X,X,X,X,,,,,,
,Cognac,,,X,X,X,X,X,,X,,X,,,
Salvatore,Cognac,,,X,,X,,X,,X,,,,X,
Sandro,Burgundy,,,,,X,X,X,X,X,,X,X,X,
,Cognac,,,X,X,,,X,X,,,,,,
Silvio,Cognac/Navy,,,,,,,,,,,,,,
Tonio,Black,,,,,,,,,,,,,,
,Navy,,,,,,,,,,,,,,
Uberto,Black,,,X,X,X,X,X,X,X,,X,X,X,
,Chocolate,,,X,X,X,X,X,X,X,X,X,X,X,
,Navy,,,X,X,X,X,X,X,X,X,X,X,X,
Valerio,Black Combo,,,,,,,,,,,,,,
,Blue Combo,,,X,X,X,X,X,X,X,X,X,X,X,
,Brown Combo,,,,X,,X,,,X,X,X,,,
,Burgundy Combo,,,,,,,,,,,,,,
,Green Combo,,,,,,,,,,,,,,
,Pink Combo,,,X,X,X,X,X,X,X,X,X,X,,
Vito,Light Blue/Navy,,,X,,X,X,X,,X,X,X,X,X,
,Light Taupe/Dark Brown,,,X,X,X,X,X,X,X,X,X,X,X,
EF99,Black,,,,,,,,,,,,,,
,Blue,,,,,,,,,,,,,,
,Cognac,,,,,,,,,,,,,,
EF286,Black/Gold,,,X,X,,X,,,X,X,X,,,
,Black/Silver,,,,,,,,,,,,,,
,Burgundy/Gold,,,X,,X,,,X,,,,,,
,Navy/Silver,,,X,,X,X,,,,,X,X,,
EF13P,Black/Gold,,,,,,X,X,,,,X,,X,
,Burgundy/Gold,,,X,,,,X,X,X,,X,X,,
EF102,Black,,,,,,,X,,,,X,,,
,Green,,,X,,,,X,X,X,,,X,X,
,Navy,,,,,,,,,,,,X,,
,Red,,,X,X,X,X,X,X,X,X,X,X,X,
