Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
202,202,"<ul>
<li>
<b>Vendor: </b> Emilio Franco </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Emilio Franco,Belt,"color:Black, color:Brown, color:Cognac, color:Light Grey, color:Navy, color:Red, size:46",true,Size,46,Color,Black,Material,Suede 35MM,202-46-black-suede 35mm-suede 35mm,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Black_37543938-95e3-4d8e-8037-fcabc50ce56f.jpg?v=1602452618,1,202 Black,false,Brite Creations | 202 Belt by Emilio Franco,"Shop at Brite Creations Atlanta for the best deal on 202 Belt by Emilio Franco
<ul>
<li><b>Vendor: </b> Emilio Franco </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Black_37543938-95e3-4d8e-8037-fcabc50ce56f.jpg?v=1602452618,lb,,,active
202,,,,,,,,46,,Brown,,Suede 35MM,202-46-brown-suede 35mm-suede 35mm,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Brown_630cc4e2-d356-42fa-8482-673542cf8c1e.jpg?v=1602452618,2,202 Brown,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Brown_630cc4e2-d356-42fa-8482-673542cf8c1e.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Cognac,,Suede 35MM,202-46-cognac-suede 35mm-suede 35mm,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Cognac_e517844b-f667-4c34-adef-23ee0bf632ea.jpg?v=1602452618,3,202 Cognac,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Cognac_e517844b-f667-4c34-adef-23ee0bf632ea.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Light Grey,,Suede 35MM,202-46-lightgrey-suede 35mm-suede 35mm,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Light_20Grey_0407f8da-e25b-46b9-8ade-249e73ce7c54.jpg?v=1602452618,4,202 Light Grey,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Light_20Grey_0407f8da-e25b-46b9-8ade-249e73ce7c54.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Navy,,Suede 35MM,202-46-navy-suede 35mm-suede 35mm,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Navy_50f63857-5866-41e7-bf5a-e1264136097c.jpg?v=1602452618,5,202 Navy,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Navy_50f63857-5866-41e7-bf5a-e1264136097c.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Red,,Suede 35MM,202-46-red-suede 35mm-suede 35mm,0.0,shopify,deny,manual,105.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Red.jpg?v=1602452618,6,202 Red,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Red.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Black,,Seude 40MM,202-46-black-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Black_37543938-95e3-4d8e-8037-fcabc50ce56f.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Brown,,Seude 40MM,202-46-brown-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Brown_630cc4e2-d356-42fa-8482-673542cf8c1e.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Cognac,,Seude 40MM,202-46-cognac-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Cognac_e517844b-f667-4c34-adef-23ee0bf632ea.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Light Grey,,Seude 40MM,202-46-lightgrey-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Light_20Grey_0407f8da-e25b-46b9-8ade-249e73ce7c54.jpg?v=1602452618,lb,,,
202,,,,,,,,46,,Navy,,Seude 40MM,202-46-navy-seude 40mm-seude 40mm,0.0,shopify,deny,manual,115.00,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/202_20Navy_50f63857-5866-41e7-bf5a-e1264136097c.jpg?v=1602452618,lb,,,
