Title,Material,Color,Price,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,Images
Adamo,Calf,Brown,335,,,,,,,,,,,,,,, ADAMO Brown.JPG
Adamo,Calf,Burgundy,335,,,X,X,X,,,,X,,,,X,, ADAMO Burgundy.JPG
Adamo,Calf,Dark Grey,335,,,,X,X,,,,,,,X,X,, ADAMO Grey.JPG
Adamo,Calf,Navy,335,,,X,X,X,X,,,,,,,,, ADAMO Navy.jpg
Baldo,Calf,Antique Red,335,,,,,X,X,,,,,X,X,X,, BALDO Antique Red.JPG
Baldo,Calf,Taupe,335,,,X,X,X,,,,,,,,,, BALDO Taupe.JPG
Danilo,Calf,Blue,335,,,,,,,,,,,,,,, DANILO Blue.jpg
Danilo,Calf,Cognac,335,,,,,,,,,,,,,,, DANILO Cognac.jpg
Dante,Calf,Cognac/Light Blue,335,,,,,,,,,,,,,,, DANTE Cognac-L. Blue.jpg
Dante,Calf,Black/Grey,335,,,X,X,,X,,X,X,X,X,X,,, DANTE Black-Grey.jpg
Dario,Calf,Black/Red,365,,,X,,X,,X,,,,,X,,, DARIO Black-Red.jpg
Dario,Calf,Cognac/Brown,365,,,X,,X,,,,,,,X,,, DARIO Cognac-Brown.jpg
Davide,Calf,Black,345,,,X,,X,X,X,,,,X,X,,, DAVIDE Black.JPG
Davide,Calf,Brandy,345,,,X,,X,,,,,,,X,,, DAVIDE Brandy.JPG
Fabrizio,Calf,Black,325,,,X,X,X,X,X,X,X,X,X,X,X,, FABRIZIO Black.jpg
Fabrizio,Calf,Brown,325,,,X,X,X,X,X,X,X,X,X,X,X,, FABRIZIO Brown.jpg
Filippo,Calf,Black,325,,,X,X,X,X,X,X,X,X,X,X,X,, FILIPPO Black.jpg
Filippo,Calf,Cognac,325,,,X,X,X,X,X,X,X,X,X,X,X,, FILIPPO Cognac.jpg
Francesco,Suede,Black,325,,,X,X,X,X,X,X,X,,X,X,X,, FRANCESCO Black.JPG
Francesco,Suede,Cognac,325,,,,,,,,,,,,,,, FRANCESCO Cognac.JPG
Francesco,Suede,Light Grey,325,,,,,,,,,X,,,X,,, FRANCESCO Grey.JPG
Francesco,Suede,Navy,325,,,X,X,X,X,X,X,X,X,,,,, FRANCESCO Navy.JPG
Franco,Calf,Black,325,,,X,X,,,,,,,,,,, FRANCO Black.JPG
Franco,Calf,Burgundy,325,,,X,X,X,X,X,,,X,,X,X,, FRANCO Burgundy.JPG
Franco,Calf,Cognac,325,,,,,,X,X,,,X,X,X,,, FRANCO Cognac.JPG
Franco,Calf,Navy,325,,,X,,X,,X,,,,,,,X, FRANCO Navy.jpg
Gino,Calf,Black/Bone,335,,,,X,X,X,X,X,X,X,X,X,X,, GINO Black-Bone.JPG
Gino,Calf,Brandy/Blue,335,,,,X,,,,X,X,,X,X,X,, GINO Brandy-Blue.JPG
Gino,Calf,Neutro/Chocolate,335,,,,,X,,X,X,,,X,X,,, GINO Neutro-Chocolate.JPG
Gino,Calf,Wine/Bone,335,,,,X,X,,X,,,X,,X,,, GINO Wine-Bone.JPG
Giorgio,Calf,Antique Red,335,X,,X,X,X,,X,X,X,X,,,X,, GIORGIO Wine.JPG
Giorgio,Calf,Black,335,,,,,,,,,,X,,,,, GIORGIO Black.JPG
Giorgio,Calf,Cognac,335,,,X,X,,,,,,X,,,X,, GIORGIO Cognac.JPG
Giorgio,Calf,Dark Grey,335,,,X,X,X,X,X,,X,X,,X,X,, GIORGIO Grey.JPG
Giorgio,Calf,Navy,335,,,X,X,X,X,X,X,X,X,X,X,,, GIORGIO Navy.JPG
Leonardo,Calf,Leather Black,345,,,,,,,,,,,,,,, LEONARDO Leather Black.jpg
Leonardo,Calf,Leather Cognac,345,,,,,,,,,,,,,,, LEONARDO Leather Cognac.jpg
Leonardo,Patent,Patent Black,345,,,,,,,,,,,,,,, LEONARDO Patent Black.jpg
Leonardo,Patent,Patent Blue,345,,,,,,,,,,,,,,, LEONARDO Patent Blue.jpg
Leonardo,Suede,Suede Brown,345,,,X,X,X,,X,,X,X,X,X,,, LEONARDO Brown.JPG
Leonardo,Suede,Suede Cognac,345,,,,,,,,,,X,,,,, LEONARDO Cognac.JPG
Livio,Calf,Black,355,,,X,,X,,X,X,X,X,X,X,X,, LIVIO Black.jpg
Livio,Calf,Navy,355,,,X,,X,,X,X,X,X,X,X,X,, LIVIO Navy.jpg
Livio,Calf,Taupe/Dark Brown,355,,,X,,X,,X,X,X,X,X,X,X,, LIVIO Taupe.jpg
Lorenzo,Calf,Antique Red/Burgundy,325,,,X,X,X,X,X,X,X,,,X,,, LORENZO Antique Red-Burgundy.JPG
Lorenzo,Calf,Antique Bone/Chocolate,325,,,X,X,X,X,X,,X,,X,X,,, LORENZO Antique Bone-Brown.JPG
Luca,Calf,Black,325,,,,,X,,X,,,,X,X,,, LUCA Black.JPG
