Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
306,306,"<ul>
<li>
<b>Vendor: </b> Fennix </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Fennix,Belt,"color:Blue, color:Bordo, color:Green, color:Red, color:Rust, size:46",true,Size,46,Color,Blue,,,306-46-blue,0.0,shopify,deny,manual,155.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Blue.jpg?v=1602453988,1,306 Blue,false,Brite Creations | 306 Belt by Fennix,"Shop at Brite Creations Atlanta for the best deal on 306 Belt by Fennix
<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Blue.jpg?v=1602453988,lb,,,active
306,,,,,,,,46,,Bordo,,,306-46-bordo,0.0,shopify,deny,manual,155.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Bordo.jpg?v=1602453988,2,306 Bordo,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Bordo.jpg?v=1602453988,lb,,,
306,,,,,,,,46,,Green,,,306-46-green,0.0,shopify,deny,manual,155.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Green.jpg?v=1602453988,3,306 Green,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Green.jpg?v=1602453988,lb,,,
306,,,,,,,,46,,Red,,,306-46-red,0.0,shopify,deny,manual,155.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/305_20Red_832a9711-5c51-4d9e-81b3-cb5cfea82102.jpg?v=1602453988,4,306 Red,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/305_20Red_832a9711-5c51-4d9e-81b3-cb5cfea82102.jpg?v=1602453988,lb,,,
306,,,,,,,,46,,Rust,,,306-46-rust,0.0,shopify,deny,manual,155.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Rust.jpg?v=1602453988,5,306 Rust,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/306_20Rust.jpg?v=1602453988,lb,,,
305,305,"<ul>
<li>
<b>Vendor: </b> Fennix </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Fennix,Belt,"color:Bordo, color:Red, size:46",true,Size,46,Color,Bordo,,,305-46-bordo,0.0,shopify,deny,manual,255.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/305_20Bordo.jpg?v=1602453978,1,305 Bordo,false,Brite Creations | 305 Belt by Fennix,"Shop at Brite Creations Atlanta for the best deal on 305 Belt by Fennix
<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/305_20Bordo.jpg?v=1602453978,lb,,,active
305,,,,,,,,46,,Red,,,305-46-red,0.0,shopify,deny,manual,255.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/305_20Red.jpg?v=1602453978,2,305 Red,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/305_20Red.jpg?v=1602453978,lb,,,
304,304,"<ul>
<li>
<b>Vendor: </b> Fennix </li>
<li>
<b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Fennix,Belt,"color:Black, color:Brown, color:Navy, color:Olive, color:White, color:Wine, size:46",true,Size,46,Color,Black,,,304-46-black,0.0,shopify,deny,manual,275.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/304_20Black.jpg?v=1602453973,1,304 Black,false,Brite Creations | 304 Belt by Fennix,"Shop at Brite Creations Atlanta for the best deal on 304 Belt by Fennix
<ul>
<li><b>Vendor: </b> Fennix </li>
<li><b>Size: </b> Adjustable Up to Size 46 </li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/304_20Black.jpg?v=1602453973,lb,,,active
304,,,,,,,,46,,Brown,,,304-46-brown,0.0,shopify,deny,manual,275.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/304_20Brown.jpg?v=1602453973,2,304 Brown,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/304_20Brown.jpg?v=1602453973,lb,,,
304,,,,,,,,46,,Olive,,,304-46-olive,0.0,shopify,deny,manual,275.00,,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/304_20OLIVE.jpg?v=1602453973,3,304 Olive,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/304_20OLIVE.jpg?v=1602453973,lb,,,
