Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
kb524-12sc,Button,"<meta charset=""utf-8"">
<ul>
<li>524-12SC, Button-up Leather Boots</li>
</ul>",Carrucci,Boot,"size:10, size:10.5, size:11, size:12, size:13, size:7, size:7.5, size:8, size:8.5, size:9, size:9.5",true,Size,7,Color,Black,,,carrucci-kb524-12sc-7-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KB524-12SC_Black2.jpg?v=1590816720,1,,false,Brite Creations - Button Boot by Carrucci,"Shop at Brite Creations Atlanta for the best deal on Button. 524-12SC, Button-up Leather Boots. ",,,,,,,,,,,,,,,lb,,,active
kb524-12sc,,,,,,,,7.5,,Black,,,carrucci-kb524-12sc-75-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,8,,Black,,,carrucci-kb524-12sc-8-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,8.5,,Black,,,carrucci-kb524-12sc-85-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,10.5,,Black,,,carrucci-kb524-12sc-105-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,11,,Black,,,carrucci-kb524-12sc-11-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,12,,Black,,,carrucci-kb524-12sc-12-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,13,,Black,,,carrucci-kb524-12sc-13-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,9,,Black,,,carrucci-kb524-12sc-9-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
kb524-12sc,,,,,,,,9.5,,Black,,,carrucci-kb524-12sc-95-black,0.0,shopify,deny,manual,152.00,169.00,true,true,,,,,,,,,,,,,,,,,,,,,,lb,,,
