Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
mezlantibero,Tibero,"<meta charset=""utf-8"">
<ul>
<li>Exotic Tassled Moccasin Slip On</li>
<li>Genuine Crocodile</li>
<li>Injected Comfort Insole</li>
<li>Full Leather Sole</li>
<li>Handmade in Spain</li>
<li>NOTE: Runs a half size large</li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Mezlan,Loafer and Slip On,"color:Burgundy,size:8,size:9,size:9.5,size:10,size:10.5,size:11,size:11.5,size:12,size:13,size:14",TRUE,Size,8,Color,Burgundy,,,mezlantibero-burgundy-8,0,shopify,deny,manual,875,895,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,1,,FALSE,Brite Creations | Tibero Loafer and Slip On by Mezlan,"Shop at Brite Creations Atlanta for the best deal on Tibero Loafer and Slip On by Mezlan
<meta charset=""utf-8"">
<ul>
<li>Exotic Tassled Moccasin Slip On</li>
<li>Genuine Crocodile</li>
<li>Injected Comfort Insole</li>
<li>Full Leather Sole</li>
<li>Handmade in Spain</li>
<li>NOTE: Runs a half size large</li>
<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,9,,Burgundy,,,mezlantibero-burgundy-9,0,shopify,deny,manual,875,895,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-ou.1604170280.jpg,2,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,9.5,,Burgundy,,,mezlantibero-burgundy-9.5,0,shopify,deny,manual,875,895,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-2.1604170280.jpg,3,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,10,,Burgundy,,,mezlantibero-burgundy-10,0,shopify,deny,manual,875,895,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-3.1604170281.jpg,4,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,10.5,,Burgundy,,,mezlantibero-burgundy-10.5,0,shopify,deny,manual,875,895,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,11,,Burgundy,,,mezlantibero-burgundy-11,0,shopify,deny,manual,875,895,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,11.5,,Burgundy,,,mezlantibero-burgundy-11.5,0,shopify,deny,manual,875,895,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,12,,Burgundy,,,mezlantibero-burgundy-12,0,shopify,deny,manual,875,895,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,13,,Burgundy,,,mezlantibero-burgundy-13,0,shopify,deny,manual,875,895,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlantibero,,,,,,,,14,,Burgundy,,,mezlantibero-burgundy-14,0,shopify,deny,manual,875,895,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-7276-f-tibero-burgundy-1.1604170280.jpg,lb,,
mezlanphillipe,Phillipe,"<meta charset=""utf-8"">
<ul>
<li>Contemporary Monk Strap With Medallion Toe</li>
<li>Smooth European, Hand-Burnished Calfskin</li>
<li>Injected Memory Foam Cushioned Insole</li>
<li>Full Leather Sole with Unique Upturn Sole Detail</li>
<li>Handmade in Spain</li>

<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",Mezlan,Dress Casual Shoe,"color:Black,color:Cognac,size:8,size:8.5,size:9,size:9.5,size:10,size:10.5,size:11,size:11.5,size:12,size:13,size:14",TRUE,Size,8,Color,Black,,,mezlanphillipe-black-8,0,shopify,deny,manual,375,395,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-black-1.1604174614.jpg,1,,FALSE,Brite Creations | Phillipe Dress Casual Shoe by Mezlan,"Shop at Brite Creations Atlanta for the best deal on Phillipe Dress Casual Shoe by Mezlan
<meta charset=""utf-8"">
<ul>
<li>Contemporary Monk Strap With Medallion Toe</li>
<li>Smooth European, Hand-Burnished Calfskin</li>
<li>Injected Memory Foam Cushioned Insole</li>
<li>Full Leather Sole with Unique Upturn Sole Detail</li>
<li>Handmade in Spain</li>

<li>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</li>
</ul>",,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-black-1.1604174614.jpg,lb,,
mezlanphillipe,,,,,,,,8,,Cognac,,,mezlanphillipe-cognac-8,0,shopify,deny,manual,375,395,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-cognac-1.1604174614.jpg,2,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-cognac-1.1604174614.jpg,lb,,
mezlanphillipe,,,,,,,,8.5,,Black,,,mezlanphillipe-black-8.5,0,shopify,deny,manual,375,395,TRUE,TRUE,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-black-ou.1604174614.jpg,3,,,,,,,,,,,,,,,,,,https://www.mezlan.com/media/catalog/product/m/e/mezlan-shoes-9730-phillipe-black-1.1604174614.jpg,lb,,
