Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Online Brite Creations,Retail Brite Creations
prestige-423-sweater,Prestige 423 Sweater,Size,M,Color,White,,,prestige-423-sweater-m-white,0,1
prestige-423-sweater,Prestige 423 Sweater,Size,L,Color,White,,,prestige-423-sweater-l-white,0,1
prestige-423-sweater,Prestige 423 Sweater,Size,XL,Color,White,,,prestige-423-sweater-xl-white,0,2
prestige-423-sweater,Prestige 423 Sweater,Size,4XL,Color,White,,,prestige-423-sweater-4xl-white,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,L,Color,Black,,,prestige-425-sweater-l-black,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,XL,Color,Black,,,prestige-425-sweater-xl-black,0,2
prestige-425-sweater,Prestige 425 Sweater,Size,2XL,Color,Black,,,prestige-425-sweater-2xl-black,0,2
prestige-425-sweater,Prestige 425 Sweater,Size,3XL,Color,Black,,,prestige-425-sweater-3xl-black,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,M,Color,Burgundy,,,prestige-425-sweater-m-burgundy,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,L,Color,Burgundy,,,prestige-425-sweater-l-burgundy,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,XL,Color,Burgundy,,,prestige-425-sweater-xl-burgundy,0,2
prestige-425-sweater,Prestige 425 Sweater,Size,2XL,Color,Burgundy,,,prestige-425-sweater-2xl-burgundy,0,2
prestige-425-sweater,Prestige 425 Sweater,Size,M,Color,White,,,prestige-425-sweater-m-white,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,L,Color,White,,,prestige-425-sweater-l-white,0,1
prestige-425-sweater,Prestige 425 Sweater,Size,XL,Color,White,,,prestige-425-sweater-xl-white,0,2
prestige-425-sweater,Prestige 425 Sweater,Size,2XL,Color,White,,,prestige-425-sweater-2xl-white,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,L,Color,Yellow,,,prestige-024A-sweater-l-yellow,0,1
prestige-024A-sweater,Prestige O24A Sweater,Size,XL,Color,Yellow,,,prestige-024A-sweater-xl-yellow,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,2XL,Color,Yellow,,,prestige-024A-sweater-2xl-yellow,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,3XL,Color,Yellow,,,prestige-024A-sweater-3xl-yellow,0,1
prestige-024A-sweater,Prestige O24A Sweater,Size,L,Color,Tan,,,prestige-024A-sweater-l-tan,0,1
prestige-024A-sweater,Prestige O24A Sweater,Size,XL,Color,Tan,,,prestige-024A-sweater-xl-tan,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,2XL,Color,Tan,,,prestige-024A-sweater-2xl-tan,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,3XL,Color,Tan,,,prestige-024A-sweater-3xl-tan,0,1
prestige-024A-sweater,Prestige O24A Sweater,Size,L,Color,Green,,,prestige-024A-sweater-l-green,0,1
prestige-024A-sweater,Prestige O24A Sweater,Size,XL,Color,Green,,,prestige-024A-sweater-xl-green,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,2XL,Color,Green,,,prestige-024A-sweater-2xl-green,0,2
prestige-024A-sweater,Prestige O24A Sweater,Size,3XL,Color,Green,,,prestige-024A-sweater-3xl-green,0,1
