Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ks88614handbrai,Ks886-14 Hand Braided Leather Woven Oxford,"<meta charset=""utf-8"">
<p>886-14</p>
<p>Leather Upper</p>

<br><p>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</p>",Carrucci,Oxford,"color:Black, color:Brown/Navy, color:Cognac, size:10, size:10.5, size:11, size:11.5, size:12, size:13, size:14, size:7.5, size:8, size:8.5, size:9, size:9.5",TRUE,Size,7.5,Color,Brown/Navy,,,ks88614handbrai-brown/navy-7.5,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,1,,FALSE,Brite Creations | Ks886-14 Hand Braided Leather Woven Oxford by Carrucci,"Shop at Brite Creations Atlanta for the best deal on Ks886-14 Hand Braided Leather Woven Oxford Oxford by Carrucci
<meta charset=""utf-8"">
<p>886-14</p>
<p>Leather Upper</p>

<br><p>Best quality and price from <a href=""https://britecreations.com/pages/about"">Brite Creations Atlanta</a>.</p>",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,lb,,,active
ks88614handbrai,,,,,,,,7.5,,Cognac,,,ks88614handbrai-cognac-7.5,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,7.5,,Black,,,ks88614handbrai-black-7.5,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownBlack4.jpg?v=1605512313,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black2_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,8,,Brown/Navy,,,ks88614handbrai-brown/navy-8,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black2_2.jpg?v=1605512313,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,8,,Cognac,,,ks88614handbrai-cognac-8,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black4_2.jpg?v=1605512313,5,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,8,,Black,,,ks88614handbrai-black-8,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac2_2.jpg?v=1605512313,6,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black2_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,8.5,,Brown/Navy,,,ks88614handbrai-brown/navy-8.5,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,8.5,,Cognac,,,ks88614handbrai-cognac-8.5,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,8.5,,Black,,,ks88614handbrai-black-8.5,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black2_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,9,,Brown/Navy,,,ks88614handbrai-brown/navy-9,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,9,,Cognac,,,ks88614handbrai-cognac-9,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,9,,Black,,,ks88614handbrai-black-9,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black2_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,9.5,,Brown/Navy,,,ks88614handbrai-brown/navy-95,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,9.5,,Cognac,,,ks88614handbrai-cognac-95,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,9.5,,Black,,,ks88614handbrai-black-95,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Black2_2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,10,,Brown/Navy,,,ks88614handbrai-brown/navy-10,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14T_BrownNavy2.jpg?v=1605512313,lb,,,
ks88614handbrai,,,,,,,,10,,Cognac,,,ks88614handbrai-cognac-10,0,shopify,deny,manual,151.05,159,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0270/5476/8216/products/KS886-14_Cognac4_2.jpg?v=1605512313,lb,,,
