Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
prestige-011-sweater,Prestige 011 Sweater,"<meta charset=""utf-8"">
<ul>
<li>Luxury Prestige Sweater</li>
<li>Style 011</li>
<li>Rayon and Cotton Blends</li>
</ul>",Prestige,Sweater,"size:M, size:L, size:XL, size:2XL, color:Black, color:Pink",TRUE,Size,L,Color,Black,,,prestige-011-sweater-l-black,0,shopify,deny,manual,100,200,TRUE,TRUE,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,1,,FALSE,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,lb,,
prestige-011-sweater,,,,,,,,XL,,Black,,,prestige-011-sweater-xl-black,0,shopify,deny,manual,100,200,TRUE,TRUE,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-PINK.JPG,2,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,lb,,
prestige-011-sweater,,,,,,,,M,,Pink,,,prestige-011-sweater-m-pink,0,shopify,deny,manual,100,200,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,lb,,
prestige-011-sweater,,,,,,,,L,,Pink,,,prestige-011-sweater-l-pink,0,shopify,deny,manual,100,200,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,lb,,
prestige-011-sweater,,,,,,,,XL,,Pink,,,prestige-011-sweater-xl-pink,0,shopify,deny,manual,100,200,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,lb,,
prestige-011-sweater,,,,,,,,2XL,,Pink,,,prestige-011-sweater-2xl-pink,0,shopify,deny,manual,100,200,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/011/SW-011-BLACK.JPG,lb,,
prestige-016-sweater,Prestige 016 Sweater,"<meta charset=""utf-8"">
<ul>
<li>Luxury Prestige Sweater</li>
<li>Style 0228</li>
<li>Rayon and Cotton Blends</li>
</ul>",Prestige,Sweater,"size:3XL, size:L, size:XL, size:2XL, color:Navy, color:White",TRUE,Size,L,Color,Navy,,,prestige-016-sweater-l-navy,0,shopify,deny,manual,100,200,TRUE,TRUE,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/016/SW-016-NAVY.JPG,1,,FALSE,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/016/SW-016-NAVY.JPG,lb,,
prestige-016-sweater,,,,,,,,XL,,Navy,,,prestige-016-sweater-xl-navy,0,shopify,deny,manual,100,200,TRUE,TRUE,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/016/SW-016-WHITE.JPG,2,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/016/SW-016-NAVY.JPG,lb,,
prestige-016-sweater,,,,,,,,2XL,,Navy,,,prestige-016-sweater-2xl-navy,0,shopify,deny,manual,100,200,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/016/SW-016-NAVY.JPG,lb,,
prestige-016-sweater,,,,,,,,L,,White,,,prestige-016-sweater-l-white,0,shopify,deny,manual,100,200,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://github.com/abadari3/Shopify-Product-Manager/raw/master/Prestige%20Sweaters/016/SW-016-WHITE.JPG,lb,,
